,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A, , ,E,D,D, , ,D,D,D,D,D, , 
B,L,L,L,L, , , ,E,E,E,E,L, , 
C, , , ,E,D, , ,E,E,D,D,D, , 
D, , ,E,E,E,E,E, , ,E,L,L, , 
E,E,E, , , , , ,E,E,E,E,E, , 
F, , ,E,E,D, , ,E,E,D,D,D, , 
G,E,L,L,L, , , ,E,E,D,L,L, , 
H,D,D,D,L, , , ,E,E,D,D,D, , 
I,E,E,D,L, , , ,E,D,D,D,D, , 
J, , , ,D,D, , ,E,E,E,E,D, , 
K,D,D,D,D, , , ,E,D,D,D, , , 
L,D,L,L,L, , , ,D,D,D,L, , , 
M, , , ,E,D, , , ,E,E,D,D,L,L
N,D,D,D, , , , , , ,D,D,L,L,L
O,D,D,D, , , , ,D,L,L,L, , , 
P, , , , ,E, , ,D,D,L, , , , 
Q,D, , , , , , ,D,L,L, , , , 
R, , , ,E, , , ,E,D,D, , , , 
S,L, , , , , , ,E, , ,E,L, , 
T,D,D,D,D, , , , , , , , , , 
