,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A, , ,a2,a1,p2,p2,p4, , ,d2,p3,p2, , ,a2,p3,n1,n1,n1, , ,p2,p3, , , ,p3,p2
B, ,p2,p5, , , , ,d3,p2,p1,p3,p1, , ,p2,p2,p2,p3,p3, , ,p2,p3,p3,p3,p5, , 
C, ,p4,p2,p4,n2, , ,a2,a2, , , , , ,a4,a3,d3,d3,p2, , ,a2,p2,p5,p2,p2, , 
D, ,d4,d2,d3,d3, , , ,p5,p3,p4,p5, , , ,p5,p3,p3,p3, , , , ,p3,p3,p3, , 
E, ,p2,p3,p5,p2, , ,a4,p1, , , , , ,d1,p1,p1,p1,p3, , ,d1,p2,p3,p3,p5, , 
F, ,p3,p4,n3,n2, , , ,p3,p2,p2,p3, , ,p2,p4,p3,p3,p3, , , , ,a3,p3,p3, , 
G, , , ,p3,p1,p3,p2,p3, , ,p2,p3, , ,d1,d3,d2,d3,p2, , ,d3,d3,p1,p3,p3, , 
H, , , ,p1,p3, , ,a4,d1,d1,p4,p3, , , , , ,p3,p1, , ,p3,p1,p3,p5,p3, , 
I,p2,p4,p2,p1,p1, , ,p2,p3,p1,n2,n1, , , , ,p2,p3,p5, , ,a2,p2, , , ,d1,p2
J, ,a2,p3,p4, , , , ,a3,p2,p2,p2, , ,p3,p3,p4,p5,p2, , , , , ,p4,p2,p3,p2
K,p4,p2, , , , , , ,d5,p2,p2,p2, , ,d5,p2,p2,p5,n1, , ,p2,p1,p2,n1,n2, , 
L, ,d2,d2,d3,p4, , , ,a2,a2,d2,p4, , , , ,a4,d1,d2, , ,a2,d2,d3,p4,p4, , 
M, ,p1,p1,p1,p2, , ,d1,p2,p1,p4,p1, , ,p2,p2, , ,p2,p2,p1,n1, , ,d2,p4, , 
N,p3,p3,p3, , , , ,a2,d3,p3,p2,p3, , , ,a3,p3,p1,p1, , ,p3,p1,p2,p2,p4, , 
O, ,p3,p1,p4,p1, , , ,d1,d1, , , , ,d1,d5,p1,p1,p5, , ,d1,d5,p3,p3,p1, , 
P, ,p2,p5,p2, , , ,d3,d3,d2,d5,p2, , ,d3,p1,n1,n1,n1, , , ,p3,p1, , ,p2,p3
Q, ,p1,p3,p3,p1, , ,a2,p4,p2, , , , ,d4,p4,p3,p1,p2, , ,a2,a1,p3,p1,p1, , 
R, ,p2,p4,p4,p2, , , , ,d1,d1,d4, , ,d1,p3,p3,p4,p2, , ,p3,p2,p2,p2,p3, , 
S, ,p2,p4,p4, , , , ,d3,d1,d4, , ,p4,p2,p4,p3,p3, , , ,a2,d4,d1,d4,p3, , 
T, ,p3,p3,p3,p3, , , , , ,p1,n3,n2,n2, , ,a2,d1,p1, , ,a3,a3,p3,p3,p5, , 
U, ,p4,p3, , , , , ,p3,p5,p3,p1, , ,p2,n3,n2,n2, , , ,a3,d4,p3,p2,p5, , 
V,a3,p1, , , ,p2,p2,p1,p2, , , , , ,a1,d1,p4,n2,n2, , ,d2,p2,p4,p4,p4, , 
W, ,p5,p3,p3,p3, , ,d3,d1,d1,d2,p3, , ,d2,p5, , , , , ,d3,d1,d2,d2,d1, , 
X,a3,d1,d1,p5,p2, , ,a2,a3,a2,d1,d1, , ,p3,p3,p3,p2,p3, , ,a3,a3, , , , , 
Y,p1,p1,p4,p1,p2, , ,a5,p2,p4,p2,p2, , , , ,a2,p1,p2,p3,p1, , ,d3,d2, , , 
Z,p3,p3,p5,p1,p3, , ,p2,p1,p3,p1,p1, , , , ,a3,p2,p3, , ,p1,p1,p5,p2, , , 
AA, ,p3,p2,p2, , , ,p4,n1,n2,n2, , , ,a1,p1,p2,p3,p2, , ,d2,p2,p1,p1,p2, , 
AB,a3,a1, , , , , ,d4,p3,p3,p4,p3, , ,d2,p3,p1,p3,p2, , ,p2,p3,p5,p2,p2, , 
AC, , , ,d1,d2,d2,d1,d1, , ,p4,p4, , ,p1,p1,p1,p1,n1, , ,p3,p4,p1,n2,n1, , 
AD,d5,p1,p2,p3,p1, , ,a5,n3,n1,n2,n1, , , , ,p2,p1,p1,p2,p3, , , , , , , 
AE, ,p2,p3,n1,n3, , , ,a2,a2,p3,p2, , ,a1,p1,p2,p2,p2, , ,p1,p1,p1,p2, , , 
AF, , , ,a4,a4,a2,a4, , , ,d1,n3, , ,a1,d3,p2,p2,p2, , ,p2,p2,p4,p2,p2, , 
AG, , , ,a2,a1, , ,a1,d1,p4,p1,p3, , ,d3,d2,d1,a5,p2, , ,p4,p2,p1,p2,p3, , 
AH, ,p4,p3,p3,p3, , , ,d1,p5, , , , ,n1,n2,n1,n2,n1, , ,a5,p3,p4,n3, , , 
AI, ,p2,p2,p2, , , ,a2,a1,d2,n1, , , ,d2,p2,p2,n2,n1, , ,d1,d2,n2,n1,n3, , 
AJ, ,a2,p2,p4,p2, , ,d3,d1,d3,d3,p2, , ,p2,p2,p2,p2,p2, , , , ,a4,a2,a2, , 
AK,d4,p2,p2,p1,p2, , ,a1,a2,d3,p3,p3, , , , ,d3,d3,p1, , ,d4,d4,p1,p3, , , 
AL, , , ,d5,n2,n1,n1, , , ,a2,a2, , , ,p4,p4,p4,p5, , ,a3,a1,d4,p5,n1, , 
AM, ,p1,p4,p1, , , ,a3,p4,p1,p5,p2, , ,a1,p1,p2,p2,p1, , ,a3,a1,p1,p1, , , 
AN, ,p5,p1,n3,n2, , ,p5,p1, , ,d3,p3, , , ,d2,p2,p3, , ,p3,p1,p4,p3,p3, , 
AO, ,d5,p1, , , , , ,d5,p1,p2,p1, , , ,p1,p3,p3,p4, , ,a5,p2,p3,p4,p5, , 
AP,p2,p1,p1,p1,p4, , , , , ,d1,p1,p1,n3,n2, , ,a3,d1,d4,p4,p2, , , , , , 
AQ, ,d4,p2,p3,p2, , ,p1,p1,p1, , ,p3,p4,n1,n2,n2, , , , ,p3,p5,n1,n1, , , 
AR, ,d2,d1,p3, , , , ,d2,d1,d1, , , ,a4,d1,p4,p3,p1, , ,d1,a5,p3,p4,p1, , 
AS, , , ,p2,p2,p2,p2,p2, , ,a1,p3, , ,n3,n1,n3,n1,n1, , ,d1,p1,p3,p1,p2, , 
AT, ,p1,p1,p4,p4, , , ,p1,p1,n1,n1, , ,a1,d2,p1,p5,n1, , , , , ,a1,d4, , 
AU, , , ,d1,p1, , , ,p1,p1,p2,p3, , ,p2,p2,p3,p5,p2, , ,p1,p2,p1,p1,p3, , 
AV, ,p5,p1,p1,p1, , ,a3,p1,p3, , ,a3,p1, , ,a3,d2,d2,p1,p3, , , ,a1,a3, , 
AW, ,d2,d2,d1,p4, , , ,d2,a5,n2,n2, , ,p4,p5, , , , , ,a3,p4,p4,p5, , , 
AX, ,p2,p1,n1,n3, , ,p5,p1,p2,p2,p1, , , , , ,p1,n1, , ,d5,p2, , , ,p1,p2
AY, ,p3,p1, , , , , ,n2,n1,n3,n1, , ,a2,p4,p1,p5,p3, , , ,d1,d3,p1,p4, , 
AZ, ,p2,p2,p2, , , , , ,d2,d2,p2, , ,d3,d3,d1,d2,d5, , ,d1,d3,d2,d1,d3, , 
BA, ,p2,p5,p3, , , , , ,p1,p3,p2, , ,d3,d2,a5,p1,p1, , ,p1,p1,p3,p1,p2, , 
BB, , ,a3,p3, , , , ,p2,p2,p3,p3, , , ,n3,n2,n1,n1, , ,a1,d1,d3,p3,p2, , 
BC, , , ,d5,n2,n2, , , ,d3,d2,d2, , ,p2,p2,p4, , ,a3,a3,d2,p4,n3, , , , 
BD,a5,p1, , , , , , ,p1,p2,p1,p1, , , ,p2,p1,p1,p4, , ,d2,d2,d1,n2,n2, , 
BE, , ,a5,p2, , , , ,n1,n3,n1, , , ,d1,d5,p4,p3,p1, , ,d3,d3,d3,p3,p4, , 
BF, ,p2,p3, , , , , ,d1,d3,p3,p3, , ,a3,p3,p2,p1,p2, , ,d1,p5,p1,p4,p1, , 
BG, ,p1,p2,p2,p2, , ,n1,n1, , , , , ,a4,a3,d1,p3,p2, , ,p4,p2,p3,p5,p3, , 
BH, ,d4,d3, , , , , ,d3,d1,p2,n3, , ,a3,d4,p3,p3,p3, , , ,a4,n1,n1,n1, , 
BI, ,p3,p3,p3,p3, , , , , ,a1,p3, , ,p3,p3,p3,p3,p3, , ,p3,p3,p3,p3,n3, , 
BJ, ,p2,n2, , , , , ,p3,p2,p2,p1, , ,a3,d5,p3,p2,p3, , ,p1,p5,p2,p2, , , 
BK, , , ,n3,n2, , , ,p1,p3,p3,p2, , ,p1,p3,p2,p1,p2, , , , ,d3,d4,d1,p1,p1
BL, , , ,p2,p2, , , ,p2,p1,p2,p3,p3, , ,d3,p3,p3,p4, , ,p2,p1,n1,n1,n1, , 
BM,d3,p5,p2, , , , ,p3,p2,p1,p3,p1, , ,d4,p2,p2,p3,p2, , ,d3,d1,d2, , , , 
BN, ,n1,n2,n1,n1, , ,p1,p1,p1,p3,p3, , ,a3,d2,d1,d2, , ,p3,p3,p5, , , , , 
BO,p1,p1,p1,p2,p2, , ,p1,p2,n3,n1,n1, , ,a2,d3,d1,d2, , , , , , ,a1,d3, , 
BP, ,p2,p1,p1, , , ,d1,d4,p2,p2,p3, , , , ,a2,d2,p1, , ,p2,p3,p2,p2,p2, , 
