,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
A,L,L,N,N,N, , ,D,D,L,L,L, , , , , , , , , ,D,L,L,N,N, , ,L,L,L,L,L, , ,D,D,E,D,E, , 
B,D,D,D, , , , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D, , , 
C,E,E,L,N,N, , ,L,L,L,L, , , ,D,L, , , , , ,D,D,E,L,N, , ,L,L,L,L,L, , ,D,D,D,E,D, , 
D,D,D,D,L, , , ,L,L,L,L,L, , ,L,L,L,L, , , , ,D,L,L,L, , ,D,D,D,D,D, , ,D,D,L,L,L, , 
E,D,D,D,D, , , ,E,E,D,L,L, , ,E,E,E, , , , ,D,D,E,D,D, , ,E,L,L,L,L, , ,L,L,L,L,L, , 
F,L,L,L,L, , , ,L,L,L,L,L, , ,D,L,L,L,L, , ,D,D,D, , , , ,D,D,L,L,L, , ,D,D,D,D,D, , 
G,D,D,D,L,L, , ,D,D,D, , , , ,D,D,D,D,L, , ,D,L,L,L,L, , ,D,D,D,D,L, , ,D,D,L,L, , , 
H,D,D,L,L,N, , ,D,E,E,D,E, , ,D,D,L,L,N, , ,E,D,L,L,L, , ,D,D,D,D,D, , , , , , , , , 
I,D,D,E,D,D, , ,E,D,D,D,E, , ,D,D,E,D,E, , ,E,D,E,D,D, , , ,E,D, , , , ,D,E,E,D,E, , 
J, , , ,D,D, , ,D,E,L,L,L, , ,E,D,E,L,L, , ,D,D,E,E,D, , ,D,E,E, , , , ,L,L,N,N,N, , 
K,D,D, , , , , ,L,L,L,L,L, , ,D,E,E,D,L, , ,D,D,E,E,D, , ,E,E,D,D,D, , ,D,L,L,L,L, , 
L, , , ,L,L, , , ,L,L,L,L, , ,L,N,N,N,N, , ,E,L,L,L, , , ,L,L,L,N, , , ,D,D,D,D,E, , 
M,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , , , , ,D,D,D,D,D, , ,D,D,D,D,D, , 
N,D,D, , ,D,E,E,D,D, , , , , ,E,D,E,D,E, , ,D,D,D,D,E, , ,E,D,E,E,D, , ,D,D,E,E,E, , 
O,L,L,L,L,L, , ,D,L,L,L,L, , , , , , , , , ,L,L,L,L,L, , ,D,D,L,L,L, , ,D,D,D,D,D, , 
P, , , , , , , , , , , , , , , , , , , , , , ,D,D,D,N, , ,D,D,D,D,N, , , ,D,D,D,D, , 
Q,D,D,D, , , , ,L,L,L,L,L, , ,D,D,L,L,L, , ,L,L,L,L,L, , , ,D,D, , ,D,L,L,L,L, , ,D,D
R,D,E,N,N,N, , ,D,D,D,D,E, , ,D,D,D,E,D, , ,D,D,D,E,D, , , , , , , , , ,D,D,D,E,E, , 
S,D,D,E,D, , , ,L,L,L,L,L, , ,D,D,L,L,L, , ,D,E,E, , , , ,D,E,D,E,D, , ,D,D,D,D,E, , 
T,D,D,D,D,D, , ,D,D,D,D,D, , ,L,L,L,L,L, , ,L,L,L,L,L, , , ,D,D, , , , ,D,D,L,L,L, , 
U, , , , , , , ,D,L,L,L,L,L, , , ,D,L,L,L,L,L, , , , , , , , , , , , , , , , , , , , 
V,E,D,L,L,L, , , ,D,D,L,L,L,L, , , , , ,D,L,L,L,L,L, , , , , , ,E,E, , , ,D,E,D,E,D,D
W,N,N,N,N,N, , , , , , ,D,D,D,D,L,L, , , ,D,L,L,L,L, , , ,L,L,L,L,L,L, , , ,D,D, , , 
X, , , , , , , ,E,D, , , ,D,E,D,E,E,D, , , ,N,N,N,N,N, , , , , , , , , , ,D,E,D,E,D,D
Y, , , , , , , ,E,D,D, , , , ,D,D,D,D, , , ,D,E,D,E, , , ,E,E,D,D, , , ,D,D,D,E, , , 
Z,D,E,D,E, , , ,D,E,E,D, , , ,D,D,D,E,D,N, , , , , , , , , , , , , , , , , , , , , , 
AA,D,L,L,L,L,L, , , ,L,L,L,L,N,N, , , , , ,L,L,L,N,N, , , ,L,L,L,N, , , ,D,D,D,D, , , 
AB,D, , , , , , ,E, , , , , , , , ,D, , , , ,D, , , , , , ,E,D,D,D, , ,E,D,D,D,D, , , 
AC,D, , , , , , ,E, , , , , , ,L, , , , , , ,D, , , , , , ,D,D,L,L,L, , , , , ,L,L,L,N
AD,E, , , , , , ,D, , , , , , ,D, , , , , , ,D, , , , , , ,L,L,L,L, , , ,D,D,D,D,D, , 
AE,D, , , , , , ,D, , ,D, , , , , , ,D, , , , , ,D, , , , ,E,D,D, , , , ,D,D,D,L,L, , 
AF,D, , , , , , , , , , ,D, , ,D, , , , , , ,D, , , , , , ,E,D,D,D, , , ,E,D,E,D,D, , 
