,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
A,L,L,N,N,N, , ,D,D,L,L,L, , ,D,L,L,N,N, , ,L,L,L, , , , ,L,L,L,L,L, , , , , ,E,L, , ,D,D,L,L,L, , ,L,L,N,N,N, , 
B, , ,E,E,E, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,L,L,L, , ,E,L,L,L,L, , , ,L,L,L,L, , , ,E,E,E,E,E, , ,L,L, , , ,E,E
C,D,D,D,D, , , ,D,D,D,D,N, , , ,D,D,D,D, , ,D,N,N,N,N, , ,E,D,D,D,D, , ,E,E,E, , ,E,N,N,N,N, , , , , , ,E,E,D,D,D
D,D,L,L,L,L, , ,D,L,L,L,L, , ,E,D,L,L,L, , ,E,E,E,D,D, , ,L,L,L,L,L, , , , , , ,L,L,L,L,L, , , , , ,E,D,D,D,D, , 
E,D,D,D, , , , ,D,D,D,D,N, , ,E,E,E,E,D, , ,D,D,D,D,D, , ,D,D,N, , , , ,E,E,E,D,D, , ,E,E,N,N,N, , ,E,D,N,N,N, , 
F,L,L,L,N, , , , , ,L,L,L, , ,L,N,N,N,N, , ,E,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,D,D,D,L, , ,E,N,N,N, , , 
G,E,L,L,L,L, , ,L,L,N,N,N, , , , , ,L,L, , ,E,L,L,L,L, , ,L,L,L,N,N, , ,N,N,N,N,N, , , , , ,E,L,L,L,L, , , , , , 
H,E,L,L,L,L, , , ,E,E,E,E,E, , , , ,E,L, , ,L,L,L,L,L, , ,E,L,L,L,L, , , ,E,E,E,L,L, , ,L,L,L,L, , ,L,L,L,L,L, , 
I,D,D, , , , , ,D,D,D,D,D, , ,D,D,D,D,D, , , ,D,D,D,D, , ,E,E,E,E,D, , ,E,E,E,E,D, , ,E,E,E,E,E, , , ,E,E,E,E,E, 
J,D,L,L,L,L, , ,D,D,L,L,L, , ,E,E,D,D, , , , ,D,D, , , , ,L,L,L,L,L, , ,D,D,D,L,L, , ,E,D,D,L,L, , ,E,E,E,L,L, , 
K,D,D,D, , , , ,E,E,E,E,E, , , , , ,E,D,N,N,N, , ,E,D, , ,E,E,D,D,D, , ,E,E,E,E,D, , , ,D,N,N,N,N, , , ,D,D,D,D,D
L,N,N,N,N, , , ,L,N,N,N,N, , ,L,L,L,L,L, , ,E,E,L,L,L, , , , , ,E,E,L,L,L, , ,E,L, , ,L,L,L,L,L, , ,E,L,L,L,L, , 
M,L,L,L,L, , , ,D,L,L,L,L, , ,D,D,L,L,L, , , ,L,L,L,L, , ,E,L,L,L,L, , ,D,D,D,L,L, , ,E,D,L,L,L, , ,D,D,L, , , , 
N,D,L, , , , , , ,L,L,L,L, , ,N,N,N,N,N, , ,D,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,N, , ,E,D,L,L,L, , ,D,L,L,L,L, , 
