,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,E,E,E,E,E, , , ,E,E,E, , , ,E,E,E, , ,E,E,E, , ,E,E,E,E
B,E,E,E,E,E, , ,E,E, , ,E,E,E,E,E, , ,E,E,E,E, , ,E,E, , 
C, , ,E,E,E, , , ,E,E,E,E, , ,L,L,L,L,L, , ,E,E, , ,E,L,L
D,L,L,L,L,L, , , , , ,E,E,E, , ,E,E,E,E, , , ,E,E,L,L, , 
E,E,E,E,E,E, , , ,E,E,E,E,E, , , ,E,E,E, , , , , ,E,E,E,E
F,L,L, , , , , ,E,E,L,L, , ,E,E,E,L,L, , ,L,L,L,L,L, , , 
G,E,E,E, , , , , , ,L,L,L,L,L, , ,E,E,E, , ,E,E,E,L,L, , 
H,E,E,E,E,E, , ,E,L, , , , , , , , ,E,E,E,E, , ,L,L,L,L,L
I,L,L,L,L,L, , ,E,E,E,E,L, , , ,E,E,L, , ,L,L,L,L, , , , 
J,E,L,L,L, , , ,E,L, , ,E,L,L,L, , ,L,L, , ,E,E,E,E,E, , 
K,E,E,E, , , , ,E,E,E,E, , , ,E,E,E,E,E,E, , , ,E,E,E,E,E
L,E,E, , , ,E,E,E,E,E, , , ,E,E,E,E,E,E, , , ,E,E,E, , , 
M, , , ,E,E, , , ,E,E,E,E, , , ,E,E,L,L, , , ,L,L,L,L,L,L
N,E,E, , , ,E,E,E,E,E,E, , , ,E,E, , , ,E,E,E,E,E,E, , , 
O,E,L, , , ,E,E,E,L,L,L, , , ,E,E,E,E,L,L, , , ,E,E, , , 
P,E,L,L,L,L, , , ,E,E,E, , , ,E,L, , , ,E,E,E,L,L,L, , , 
