NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,D, , ,D,N,N,N, , ,D,D,D,D,D, , ,D,D,N, , ,D,D,D,D,D, , 
B,E,E,N,N, , , ,N,N, , ,E,E,E,E,D, , ,E,E,E,D, , ,E,E, , 
C, ,D,D,D,N, , , ,D,D,D,D, , ,D,D, , ,D,D,D,N,N, , ,D,D, 
D,D,L,L,L,L, , ,L,L,L,L, , ,D,L,L,L, , ,D,D,D, , ,L,L, , 
E,E,E, , ,D,D,D, , , ,E,E,E,E, , ,N,N,N, , ,E,E,E,E,E, , 
F,E,D, , ,E,E,E,N, , ,E,E,E,E,N, , ,N,N, , ,E,E,E,E,D, , 
G, ,D,D,D,N, , ,D,D,D,N,N, , , ,D,N, , ,D,D,D,D,D, , ,D,D
H,E,E,E,E,E, , ,E,E,E,E, , , ,E,E, , ,E,E,E,D,D, , ,D,D, 
I,N,N,N,N, , , ,E,E,E,E,E, , , ,E,D, , ,E,E,E,E,D, , ,E,E
J,L,N,N, , ,L,L,L,N,N, , , , ,L,L,L,L, , ,L,L,L,L,L, , , 
K, ,E,E,E,D, , ,E,E,E,E,N, , , , , ,D,D,D,N,N, , ,E,E,E,E
L,D, , ,E,E,E,E,N, , ,E,E,E,E, , ,D,D,D, , ,E,E,N,N,N, , 
M, , ,D,L,L,L,L, , ,L,L,N, , ,D,L,L,L,L, , ,N,N,N, , ,L,L
N,E,E,E,E,L, , , , ,L,L,L, , ,E,N, , ,E,N,N, , ,L,L,L,N, 
O,L,L,L,L,L, , ,E,E, , ,E,L,L, , ,E,E,E, , ,L,L,L, , ,E,L
P, , ,E,E,E,E,E, , ,D,D,D, , ,D,D,D,D,D, , ,E,E,E, , ,E,E
Q,L,N, , , ,L,L,L,L,L,N, , , ,L,L,L,L, , , ,L,L,L,L,N,N, 
R,D,D,D,D, , , , , ,D,D,D,D,D, , , ,D,D, , , ,D,D,D,D,D,D
S,L,L,L,L, , , ,D,L,L,L,L, , , ,L,L,L,L,L,L, , , , , ,D,D
T,L,L,L,L,L,L, , , ,L,L,L, , , ,D,D,D,L,L,L, , , ,L,L, , 
U,D, , , ,E,E,E,E,D,D, , , , ,E,E,E,E,E, , , , ,E,N,N,N,N
V, ,E,E,L, , , ,L,L, , , ,E,L,N,N,N,N, , , ,L,L,L,L,L,L, 
W,N, , , ,D,D,D,D,D,D, , , ,E,E,E,E,E,E, , , ,D,N,N,N, , 
X, ,D, , , ,D,D,N, , , , ,D,D,D, , , , ,D,D, , ,D, , , , 
Y,L, , ,L,L, , , ,L, , , ,D,L,L, , , , ,D,L, , , , , ,L, 
Z, ,L, , , ,E,E,L, , , ,D,L,N, , , , , ,E,E, , , ,D, , , 
AA, , , , , , ,D,D,D, , ,L,L,N,N, , , ,D,L,L, , , , , , , 
AB,L, , ,N, , , ,L, , , , ,L,L,L, , ,L, , ,E, , , , , ,E,N
AC, , , ,D, ,D, , , ,N, , ,D,D,D, , , , ,D, , , , , , , , 
AD, , , ,D, , ,L, , , , , ,L,L,N, , , , ,L,L, , , , , , , 
