NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
A,D, , ,D,D,L,N,N, , ,D,N, , , , , , ,E,E,E,E,E, , ,D,L,N, , ,D,E,D, , ,L,L,L,L,L, , 
B,N,N, , , ,D,D, , ,N,N,N, , ,D,D,D,D,D, , , , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , , 
C,E,E,D,N,N, , ,E,D, , , ,E,E,L,N, , ,E,E,D,N, , ,D,D,E,E,E, , ,E,D, , , ,L,N, , , , 
D,D,D,D, , ,L,L,L,L,L, , ,L,L,L,L,L, , , , , ,D,D, , ,L,L,L, , ,L,L, , ,L,L,L,L,L, , 
E,L,L, , , ,D,D,D,N,N, , ,L,L,L,L,L, , , , ,L,L,L,L,L, , ,N,N, , ,E,D,E,E,N, , , , , 
F,D,D,D,D,D, , ,D,L,L,L,L, , ,L,L,L,L,L, , ,D,D,D, , , ,L,L,L, , , ,L,L, , , , ,D,L, 
G,L,N,N, , ,D,L,L,L,L, , , , ,N,N, , ,D,L,L,L,L, , ,D,L,L, , , ,L,N, , ,L,L,L,L, , , 
H,E,E,D,E,E, , ,E,E,E,E,E, , ,D,E,N, , ,L,L, , ,N,N,N, , ,L,N, , , ,E,E, , , , , ,E,E
I,D,D,D,N,N, , , ,E,D,N, , ,E,D,E,E, , ,D,D, , ,E,E,E, , , ,E,E, , , , ,E,E,D, , ,E,N
J,E, , ,D,E,L,L, , , ,E,E,D,E,N, , ,L,L, , ,E,E,E, , ,E,D,D,D,D, , , , ,N,N,N,N, , , 
K,L,L,L, , , , ,E,E,E,L, , ,L,L,L,L,L, , , ,L,L,L, , ,E,E,E,E, , ,E,D,E,L, , ,D,L, , 
L, , ,E,E,E,E,E, , ,E,L,N, , ,E,D,E,E, , , ,D,D,D,E, , , ,E,D, , ,E,N,N, , ,E,L,N, , 
M,D,D,D, , ,D,D,D,D, , ,D,D,D, , ,D,D,D,D,D, , , , , , , ,D,D,D,D,D, , ,D,D,D,D,D, , 
N,E,E, , ,D,E,E,E, , ,E,E, , ,E,E,E,D, , , ,D,E,E, , ,E,N, , , ,D,D,N,N,N, , ,E,N, , 
O,L, , ,D,D,L,L, , ,D,L,L,L,L, , , , ,D,L,L,L,L, , , , , ,L,L,L,L,L, , ,D,D,L,L,L, , 
P,N,N,N,N, , , , , ,D,D,D,D,D, , ,D,D,N, , ,D,D, , ,D,D,D,D, , ,D,D, , , ,D,D, , ,D,D
Q,L,L,L,L,L, , ,L,L,L,L,L, , ,D,D,D, , ,D,D, , ,L,L, , , , ,L,L, , ,D,D,D,D, , ,D,D, 
R,E,E,E,E,E, , , , ,E,E,E,E, , ,D,E,D,N, , ,D,D,D, , ,E,N,N, , , , ,D,D,D, , ,N,N, , 
S, , , ,L,L,L,N,N, , ,E,E, , ,E,E,L,L, , , ,E,D,E, , , , ,L,N,N,N, , ,E,E,E, , ,D,E,D
T,D,D,D,D,D, , ,D,D,D,D,D, , , , , ,L,L,L,L,L, , ,D,D, , , ,D,L, , , ,D,D, , ,L,L,L,L
U, , , ,E,D,D,D,D,L, , , , , ,L,L,L,L,L, , , ,D,D,L,L, , , ,E,L,L,L,L,L, , , ,L,L,L,L
V,E,L,L,L,L, , , ,E,E,E,E,D,E, , , ,E,E,E,E,E,D, , , ,L,L, , , ,E,E, , , ,E,E,E,D, , 
W,L,L,L,L,L, , , , , , , ,D,D,N,N,N,N, , , ,L,L,L,L, , , , ,L,L,L,L,L,L, , , ,D,D,D, 
X,N, , , , ,E,E,N,N,N,N, , , ,D,E,E,E,E,D, , , ,E,E,E,E,D,D, , , , , , ,E,E,E,D,E, , 
Y, ,E,E,E,E,E,D, , , , , , , ,D,D,E,E,E, , , ,D,D,D, , , ,E,E,E,E,D,D, , , ,D,E,E,D,D
Z, ,E,E,E,E,E,N, , , , , ,E,D,D,D,N,N, , , ,E,E,E,D,E, , , ,E,E,E,E, , , , , , ,E,E,N
AA,D,L,L,L,L, , , ,D,L,L,L,L,L, , , , , ,N,N,N,N,N, , , , ,D,D,L,L,L,L, , , ,L,L, , ,  
AB, , , ,D, , , , ,D, , , ,E,E, , ,D,E,E,E,E, , , , , ,E,E,E,E, , , , , , , , , , , , 
AC, , ,N,N, , , , ,E, , , ,L,L, , ,L, , , ,L, , , , , , , , , ,D,D,D, , , , , , , ,L, 
AD, , ,E,N, , , , , , ,D,E, , ,L, , , , , , , , ,N, , ,L,L, , , , ,D,D,E, , , , , ,E, 
AE, , , , , , , , , ,D,D,D,D,D, , , , , ,N,N, , , , , , , , , , , , , , , ,E,E,E,E,E, 
AF, , , , , , , , , , , , , , ,E, , ,E,E,E,E, , , , , ,D,D, , , ,E,E,E,E, , , , ,E, , 
Problem status: Unfinished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The minimised penalty = 2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time elapsed: 600.034s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
