NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,D, , ,D,D,N,N, , ,D,D,D,D, , ,D,D,D,D, , ,D,D,D,N, , , 
B,E,E,N,N, , , ,N,N, , ,E,E,E,E,E, , ,E,E,E, , ,E,E,D, , 
C, ,D,D,N,N, , ,D,D,D,D,D, , ,D,D, , ,D,D,D,D,N, , , ,D,N
D,L,L,L,L,L, , ,L,L,L, , ,L,L,L,L,L, , ,D,D,L, , ,D,D, , 
E,D, , ,D,D,D,D, , ,E,E,E,E,D, , ,E,N, , , ,E,E,N,N,N, , 
F,E,E,E,E,E, , ,E,E,D, , ,E,E,N,N, , ,E,E,E,N,N, , , , , 
G, ,D,D,D,D, , ,D,D,N,N,N, , , , , ,D,D,D,D, , , ,D,D,D,N
H, ,E,E,E, , ,E,E,E,E,E, , , ,E,E,E,E,E, , ,D,D,D, , ,E,D
I,D,N,N,N,N, , ,E,E,E,E,E, , , , , , ,E,E,E,D,D, , ,E,E,E
J,L,L,N, , ,L,L,N,N,N, , , , ,D,L,L,L, , ,L,L,L,L,L, , , 
K,N, , ,E,E,E,E, , ,E,E,E,E,E, , ,N,N,N, , ,E,E,E,E,D, , 
L,E, , ,E,E,E,E,N, , ,E,N,N,N, , ,D,D,D, , ,E,E,E,E,E, , 
M, ,D,L,L,N, , ,L,L,L,L,L, , ,D,L, , , ,L,L,N,N,N, , ,L,L
N,E,E,E,L,L, , , , ,L,L,L, , ,L,N, , ,L,N,N,N, , ,L,L,L, 
O,L,L,L,L,L, , ,E,E,D, , ,L,L, , ,E,E,E, , ,L,L,L, , ,E,E
P,D,D, , ,E,E,D, , ,E,E,D, , ,E,D,D,D,D, , ,E,E, , ,E,E,E
Q,L,N, , , ,L,L,L,L,L,L, , , ,L,N,N, , , ,E,E,E,D,L,L, , 
R,D,D,D,D, , , , ,D,D, , , ,D,D,D,D,D,D, , , ,D,D,D,D,D,D
S,L,L,L,L, , , ,D,D,D,L, , , ,L,L,L,L,L,L, , , , , ,L,L,L
T,E,E,D,L,L, , , ,L,L,L,L, , , ,D,D,L,L,L,L, , , ,L,L,L, 
U,N,N, , , ,E,E,E,D,D,D, , , ,E,E,E,E,E,D, , , ,D,N,N, , 
V, ,E,E,D, , , ,L,L,N, , , ,E,L,L,L,L, , , ,L,L,L,N,N,N, 
W, , ,E,E,E,E,E,D, , , ,E,E,E,E,E,N, , , , ,D,D,N,N,N, , 
X, , , , , ,D,D,N, , , ,D,D,D,D, , ,D,N, , , , , , , ,D, 
Y,L, , ,D,L, , , , , , , ,D,L, , ,L, , ,L,L, , ,L,L, , , 
Z, , , , , ,L,L,L, , , ,L,L,N,N, , , , ,L,L, , , ,L, , , 
AA,L,L, , , ,L,L,L, , , , ,D,L,N, , , , ,D,L, , , , , , , 
AB, , , ,L,L, , , , ,L,N, , ,L,N, , , , ,E,E, , ,L, , ,E, 
AC, , , , , ,D,N, , , , ,D,D,D, , , , , ,D,D, , , , , , , 
AD, , , , , ,D,L, , , , , ,L, , , , ,L, ,D,N, ,L, , , , , 
Problem status: Unfinished

The minimised penalty = 2279
Time elapsed: 4503.56s.
