NurseID, 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 
A, L ,  ,  , E , D ,  ,  , E , L , L , L , L ,  ,  ,  ,  , N , N ,  ,  , E , L ,  ,  , E , L , N , N 
B, D , D , L , L , L ,  ,  , L , L ,  ,  ,  ,  ,  ,  , E , D , D , D , D ,  ,  ,  , E , E , E , E , D 
C, D ,  ,  , E , E ,  ,  , D , D , D , D , D ,  ,  , E , E , L ,  ,  ,  , E , D , D , D ,  ,  , D , L 
D, L , L , L ,  ,  , L , L ,  ,  , D , N , N ,  ,  ,  , L , L , L , L , N ,  ,  ,  , D , D , N ,  ,  
E, D , D , D , D , D ,  ,  , D , D ,  ,  , E , E , E , D , D ,  ,  ,  ,  ,  , E , E ,  ,  , E , E , E 
F,  ,  , D , N , N ,  ,  , E , E , E , E , D ,  ,  ,  ,  , E , E , E , E , N ,  ,  , E , E ,  ,  , N 
G, D , D ,  ,  , E , E , D ,  ,  , E , E , E ,  ,  , E , E , D , D ,  ,  ,  , E , E , E , E ,  ,  , E 
H,  , E , E , E ,  ,  ,  , N , N , N , N ,  ,  ,  ,  , E , E , E ,  ,  , L , L ,  ,  , D , D , L , L 
I, E , L , L ,  ,  , E , E , N ,  ,  ,  , D , N , N ,  ,  , L , N ,  ,  ,  , E , E , D , D , L ,  ,  
J, L , N , N ,  ,  ,  ,  ,  ,  , L , L , L , L , L ,  ,  , L , L , L , L , N ,  ,  , E , E , N ,  ,  
K, L ,  ,  ,  , L , L , L , N ,  ,  ,  ,  ,  ,  , N , N , N ,  ,  ,  ,  , L , L ,  ,  ,  , L , L 
L, N , N ,  ,  ,  ,  ,  ,  ,  , E , E , L , N ,  ,  ,  ,  , L , L , L ,  ,  ,  , L , L , N ,  ,  
M, L , L ,  ,  ,  , L , L , L ,  ,  ,  ,  ,  ,  ,  , D , D , D , D ,  ,  ,  ,  ,  , D , D , N , N 
N,  , D , D , L , L ,  ,  ,  ,  ,  , N , N , N , N ,  ,  ,  ,  , E , D , D , D ,  ,  ,  ,  ,  ,  
O,  , E , L , L ,  ,  ,  , D , D , L ,  ,  ,  , L , L ,  ,  ,  ,  ,  ,  , N , N , N , N ,  ,  ,  
P,  ,  , E , E , E ,  ,  ,  , D , N ,  ,  ,  , D , N , N , N ,  ,  ,  ,  ,  ,  ,  ,  , D , D , D 
Q, L ,  ,  ,  ,  , L ,  ,  ,  ,  ,  ,  , D , D , D , D ,  ,  , D ,  ,  ,  ,  , L ,  ,  , D , L 
R,  ,  ,  ,  , N , N , N ,  ,  ,  ,  , L , L ,  ,  ,  ,  ,  ,  ,  ,  , L , L , L , L , L ,  ,  
S,  ,  ,  ,  ,  , D , D ,  ,  , D , N ,  ,  ,  , E , N ,  ,  ,  ,  , D , N ,  ,  ,  , E , D ,  
T,  ,  ,  , D ,  ,  , D ,  ,  , D ,  ,  , L ,  ,  ,  ,  ,  , L ,  ,  , D , N , N , N ,  ,  , D 
U, N ,  ,  ,  ,  , E , E ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , E , E , E , E , N ,  ,  ,  , E , N ,  
V,  ,  ,  , D ,  ,  , D , D ,  ,  ,  , D , N , N , N ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , E , E , E 
